# New Recording 3.m4a

[00:00:00.000–00:00:05.000] 可能這首後期會印章大一點
[00:02:34.000–00:02:36.000] 他們十二月前會有演出
[00:02:36.000–00:02:37.000] 但一樣
[00:02:37.000–00:02:39.000] 因應班的大用戒報
[00:02:39.000–00:02:41.000] 我們就停了演出
[00:02:41.000–00:02:43.000] 只有一班演出
[00:02:43.000–00:02:45.000] 我三班安排的日子
[00:02:45.000–00:02:47.000] 都因為Sparkle Square
[00:02:47.000–00:02:49.000] 不能在午餐時間開放演出
[00:02:49.000–00:02:51.000] 所以都不能給他們演出
[00:02:51.000–00:02:52.000] 這就是唯一的
[00:02:52.000–00:02:55.000] 所以就沒有了
[00:02:55.000–00:02:57.000] 好 說完了
[00:02:57.000–00:02:58.000] 那就寫歌
[00:02:58.000–00:03:00.000] 中一
[00:03:00.000–00:03:03.000] 跟往時都很大致相
[00:03:03.000–00:03:06.000] 不是說太大的分別
[00:03:06.000–00:03:10.000] 而今年多了一些SEM的學生
[00:03:10.000–00:03:12.000] 都是透過可能
[00:03:12.000–00:03:14.000] 之前安排的創委
[00:03:14.000–00:03:16.000] 或者臨時按他們的表現
[00:03:16.000–00:03:18.000] 再抽離那些同學
[00:03:18.000–00:03:20.000] 可能坐在老師的帳篷裡
[00:03:20.000–00:03:21.000] 叫他幫幫那些
[00:03:21.000–00:03:26.000] 就是這樣去處理他們一些
[00:03:26.000–00:03:30.000] 偶然上課會有的問題
[00:03:30.000–00:03:32.000] 我覺得今屆的同學
[00:03:32.000–00:03:33.000] 好像少了
[00:03:33.000–00:03:35.000] 他們的活躍參加比賽
[00:03:35.000–00:03:36.000] 比賽
[00:03:36.000–00:03:38.000] 我們畫畫的去
[00:03:38.000–00:03:39.000] 這樣
[00:03:39.000–00:03:41.000] 一樣都是這樣丟出來的
[00:03:41.000–00:03:42.000] 其實這些
[00:03:42.000–00:03:43.000] 就是一樣有丟出來
[00:03:43.000–00:03:44.000] 對
[00:03:44.000–00:03:45.000] 但就是為了演技
[00:03:45.000–00:03:46.000] 以往你是主動演技
[00:03:46.000–00:03:48.000] 主動就少了一點
[00:03:48.000–00:03:49.000] 主動就少了一點
[00:03:49.000–00:03:52.750] 再鼓勵一下
[00:03:52.750–00:03:53.750] 那你那次會嗎
[00:03:53.750–00:03:54.750] 那次你拋出來
[00:03:54.750–00:03:55.750] 講話是藝術
[00:03:55.750–00:03:56.750] CFO有什麼傳票
[00:03:56.750–00:03:57.750] 有兩個可以拿獎學金的那些
[00:03:57.750–00:03:58.750] 見到那些條件
[00:03:58.750–00:03:59.750] 都是要有參加
[00:03:59.750–00:04:00.750] 即是要參加比賽
[00:04:00.750–00:04:01.750] 然後見到
[00:04:01.750–00:04:02.750] 好像有很多人
[00:04:02.750–00:04:03.750] 是on the list
[00:04:03.750–00:04:04.750] 就是我教的
[00:04:04.750–00:04:05.750] 或者什麼的
[00:04:05.750–00:04:06.750] 對
[00:04:06.750–00:04:07.750] 多謝你看看
[00:04:07.750–00:04:08.750] 大家要記住
[00:04:08.750–00:04:09.750] 密切同志
[00:04:09.750–00:04:10.750] 因為最後學期未到
[00:04:10.750–00:04:11.750] 就是要交每科兩年單
[00:04:11.750–00:04:12.750] 那我看
[00:04:12.750–00:04:13.750] 我看
[00:04:13.750–00:04:14.750] 我看
[00:04:14.750–00:04:15.750] 我看
[00:04:15.750–00:04:16.750] 我看
[00:04:16.750–00:04:17.750] 我看
[00:04:17.750–00:04:18.750] 我看
[00:04:18.750–00:04:19.750] 我看
[00:04:19.750–00:04:20.750] 我看
[00:04:20.750–00:04:21.750] 我看
[00:04:21.750–00:04:22.750] 我看
[00:04:22.750–00:04:23.750] 過去介紹
[00:04:23.750–00:04:24.750] 這個兩年
[00:04:24.750–00:04:25.750] 我們的音樂
[00:04:25.750–00:04:26.750] 就選了一個主動演
[00:04:26.750–00:04:29.750] 所以我ě
[00:04:29.750–00:04:31.190] 難怪
[00:04:31.190–00:04:31.790] 如果根據
[00:04:31.790–00:04:32.750] 昨天的宣布
[00:04:32.750–00:04:33.750] 都幾ote了
[00:04:33.750–00:04:34.750] 對
[00:04:34.750–00:04:35.750] 已經頗出
[00:04:35.750–00:04:37.750] 因爲 ר
[00:04:37.750–00:04:38.750] 比賽
[00:04:38.750–00:04:39.750] 他是自發地
[00:04:39.750–00:04:40.750] heard
[00:04:40.750–00:04:41.750] 隨隨ariat
[00:04:41.750–00:04:42.750] 去參加遠方比賽
[00:04:42.750–00:04:43.070] 那些其實
[00:04:43.070–00:04:44.150] 當然
[00:04:44.150–00:04:44.750] 當然
[00:04:44.750–00:04:45.750] 還有一個
[00:04:45.750–00:04:46.750] 那也有唱歌
[00:04:46.750–00:04:47.750] 不過那是參加不了
[00:04:47.750–00:04:48.750] 王小姐
[00:04:48.750–00:04:49.750] personajes
[00:04:49.750–00:04:50.750] 所以
[00:04:50.750–00:04:52.750] 想不到良文出現
[00:04:52.750–00:04:55.750] 可能是心理術 或者是留意著
[00:04:55.750–00:04:56.750] 一定要頒的嗎?
[00:04:56.750–00:04:57.750] 沒有
[00:04:57.750–00:04:58.750] 當然
[00:04:58.750–00:05:00.750] 他預了有就一定要有
[00:05:00.750–00:05:01.750] 保留著
[00:05:01.750–00:05:02.750] 當然
[00:05:02.750–00:05:04.750] 有些不一定年年有
[00:05:04.750–00:05:05.750] 例如中壢信那些
[00:05:05.750–00:05:06.750] 不一定好就好
[00:05:06.750–00:05:07.750] 我知道
[00:05:07.750–00:05:09.750] 當然你又說沒有的
[00:05:09.750–00:05:12.750] 今屆中壢信一個都沒有
[00:05:12.750–00:05:14.750] 因為有時候我的確診是
[00:05:14.750–00:05:15.750] 他沒有
[00:05:15.750–00:05:16.750] 他不是
[00:05:16.750–00:05:17.750] 你頒了給他
[00:05:17.750–00:05:18.750] 你尊重他
[00:05:18.750–00:05:20.750] 我覺得反而不是一件好事
[00:05:20.750–00:05:21.750] 我懂的
[00:05:21.750–00:05:23.750] 但是因為第一年出
[00:05:23.750–00:05:25.750] 那未必要兩個
[00:05:25.750–00:05:26.750] 起碼一個
[00:05:26.750–00:05:27.750] 起碼也有一個
[00:05:27.750–00:05:29.750] 否則大家好像不知有這個獎項
[00:05:29.750–00:05:30.750] 生了出來
[00:05:30.750–00:05:32.750] 因為這是新獎
[00:05:32.750–00:05:34.750] 今年第一年
[00:05:34.750–00:05:36.750] 得的今年也有獎項
[00:05:36.750–00:05:37.750] 當然你說
[00:05:37.750–00:05:38.750] 沒有
[00:05:38.750–00:05:39.750] 我今年沒有很出色
[00:05:39.750–00:05:40.750] 我沒有兩個很出色
[00:05:40.750–00:05:42.750] 到時再夾一夾
[00:05:42.750–00:05:44.750] 我想也是相反的
[00:05:44.750–00:05:46.750] 如果今年起碼有一個走出來
[00:05:46.750–00:05:47.750] 其他就
[00:05:47.750–00:05:48.750] 原來有那個獎
[00:05:48.750–00:05:50.750] 那你也積極參加
[00:05:50.750–00:05:52.750] 我想有些鼓勵作用
[00:05:52.750–00:05:53.750] 你知道有多少學生
[00:05:53.750–00:05:54.750] 只看學生給我
[00:05:54.750–00:05:55.750] 裡面有什麼獎項
[00:05:55.750–00:05:56.750] 今天有什麼獎項
[00:05:56.750–00:05:57.750] 有多少人贏
[00:05:57.750–00:05:58.750] 有多少獎項
[00:05:58.750–00:05:59.750] 但如果年輕的同學走上課
[00:05:59.750–00:06:00.750] 拿了這個獎項
[00:06:00.750–00:06:02.750] 其實會有多些人留意到
[00:06:02.750–00:06:03.750] 可能下年的時候
[00:06:03.750–00:06:05.750] 為什麼可以拿這個獎項
[00:06:05.750–00:06:06.750] 我又積極參加
[00:06:06.750–00:06:07.750] 原來參加了比賽
[00:06:07.750–00:06:08.750] 得了
[00:06:08.750–00:06:10.750] 可能也是一個鼓勵
[00:06:10.750–00:06:12.750] 所以最少盡量一個
[00:06:12.750–00:06:15.750] 讓大家知道這件事生出來
[00:06:15.750–00:06:16.750] 得就得了
[00:06:16.750–00:06:17.750] 當然沒有人值得給
[00:06:17.750–00:06:18.750] 沒有人值得給
[00:06:18.750–00:06:19.750] 就算了
[00:06:19.750–00:06:21.750] 這個跟我想的差不多
[00:06:21.750–00:06:22.750] 就是獎項
[00:06:22.750–00:06:23.750] 鼓勵
[00:06:23.750–00:06:24.750] 高中怎樣也有
[00:06:24.750–00:06:25.750] 中六差一點
[00:06:25.750–00:06:27.750] 獎項也有
[00:06:27.750–00:06:28.750] 中六也有
[00:06:28.750–00:06:29.750] 所以中六
[00:06:29.750–00:06:31.750] 那天你問中六是沒有的
[00:06:31.750–00:06:32.750] 高中怎樣也有比賽
[00:06:32.750–00:06:33.750] 有拿獎
[00:06:33.750–00:06:34.750] 怎樣也有
[00:06:34.750–00:06:35.750] 不過只不過
[00:06:35.750–00:06:36.750] 高中也有拿獎
[00:06:36.750–00:06:37.750] 但是有些
[00:06:37.750–00:06:39.750] 當然我說你要選
[00:06:39.750–00:06:40.750] 要兩個
[00:06:40.750–00:06:41.750] 或者什麼
[00:06:41.750–00:06:43.750] 我覺得你真的要很熱衷
[00:06:43.750–00:06:45.750] 什麼才值得給他
[00:06:45.750–00:06:46.750] 不是
[00:06:46.750–00:06:47.750] 可能
[00:06:47.750–00:06:49.750] 這樣就比較好
[00:06:49.750–00:06:51.750] 希望可以
[00:06:51.750–00:06:52.750] 希望
[00:06:52.750–00:06:53.750] 希望
[00:06:53.750–00:06:54.750] 希望而已
[00:06:54.750–00:06:55.750] 好
[00:06:55.750–00:06:56.750] 中人
[00:06:56.750–00:06:57.750] 都可以的
[00:06:57.750–00:06:59.750] 有些學生都挺熱心的
[00:06:59.750–00:07:00.750] 所以
[00:07:00.750–00:07:01.750] 好
[00:07:01.750–00:07:02.750] 中二
[00:07:02.750–00:07:04.750] 中二就
[00:07:04.750–00:07:06.750] 我在想
[00:07:06.750–00:07:08.750] 那件T恤
[00:07:08.750–00:07:11.750] 如果他們私印那件T恤
[00:07:11.750–00:07:16.750] 會不會一定要去印呢
[00:07:16.750–00:07:17.750] 因為其實都是
[00:07:17.750–00:07:19.750] 都很大壓力的
[00:07:19.750–00:07:22.750] 在這麼短時間要印那件T恤
[00:07:22.750–00:07:23.750] 還有就是
[00:07:23.750–00:07:27.750] 如果教過那些老師都知道
[00:07:27.750–00:07:29.750] 因為很趕的
[00:07:29.750–00:07:33.750] 還有一個老師看不完整個過程
[00:07:33.750–00:07:35.750] 但是他們開心的
[00:07:35.750–00:07:38.750] 不過可能要問一問那些班主任
[00:07:38.750–00:07:41.750] 因為我見到有時去到中三中四
[00:07:41.750–00:07:44.750] 他們自己都喜歡自己出去
[00:07:44.750–00:07:45.750] 自己印一些
[00:07:45.750–00:07:46.750] 他們想要的T恤
[00:07:46.750–00:07:48.750] 其實都是會去印一件的
[00:07:48.750–00:07:49.750] 是的
[00:07:49.750–00:07:50.750] 有些班會會去印
[00:07:50.750–00:07:53.750] 所以他又未必是很嚴理
[00:07:53.750–00:07:55.750] 那件T恤他和他印得很靚
[00:07:55.750–00:07:56.750] 雖然那個價錢是便宜
[00:07:56.750–00:07:58.750] 還有可以fulfill到那個
[00:07:58.750–00:08:00.750] 就是印刷技巧
[00:08:00.750–00:08:04.750] 但是是不是真的可以幫到更多學生呢
[00:08:04.750–00:08:06.750] 所以我建議就
[00:08:06.750–00:08:07.750] 私網是要有的
[00:08:07.750–00:08:08.750] 不過
[00:08:08.750–00:08:10.750] 紙本的印刷術
[00:08:10.750–00:08:12.750] 他們都應該要懂的
[00:08:12.750–00:08:13.750] 所以印紙
[00:08:13.750–00:08:14.750] 或者最後file
[00:08:14.750–00:08:15.750] 印衣服
[00:08:15.750–00:08:18.750] 我覺得未必一定班班要做
[00:08:18.750–00:08:19.750] 即是如果有些班
[00:08:19.750–00:08:21.750] 即是很合作的A班
[00:08:21.750–00:08:24.750] 他們又覺得可以這樣做
[00:08:24.750–00:08:25.750] 那就做
[00:08:25.750–00:08:29.750] 但是如果今年中二那些VCD
[00:08:29.750–00:08:30.750] 印完出來
[00:08:30.750–00:08:33.750] 他們又未必很喜歡穿
[00:08:33.750–00:08:34.750] 又或者不是說
[00:08:34.750–00:08:37.750] 一定他們想要的顏色這些
[00:08:37.750–00:08:40.750] 我覺得未必一定要
[00:08:40.750–00:08:43.750] 用這麼大的人力物力去處理
[00:08:43.750–00:08:44.750] 就是這件事
[00:08:44.750–00:08:45.750] 而最後
[00:08:45.750–00:08:48.750] 可能他真的在運動會會穿到會開心
[00:08:48.750–00:08:51.750] 但是又未必是為了一次
[00:08:51.750–00:08:53.750] 要勞師同學做很多事
[00:08:53.750–00:08:55.750] 因為做這個私網
[00:08:55.750–00:08:57.750] 你要做四次
[00:08:57.750–00:09:00.750] 我覺得對自己來講真的挺吃力
[00:09:00.750–00:09:02.750] 老師要用兩個double lesson
[00:09:02.750–00:09:03.750] 兩個double lesson
[00:09:03.750–00:09:04.750] 還有要訂衣服
[00:09:04.750–00:09:08.750] 也要跟他預備很多物料或者顏料
[00:09:08.750–00:09:09.750] 要襯飾
[00:09:09.750–00:09:11.750] 還有你不可以衰
[00:09:11.750–00:09:13.750] 因為你那裡一印一印
[00:09:13.750–00:09:14.750] 你看看
[00:09:14.750–00:09:17.750] 所以那個壓力和結果
[00:09:17.750–00:09:19.750] 好像不太成為一個證據
[00:09:19.750–00:09:21.750] 但是反而他自己印
[00:09:21.750–00:09:23.750] 可以自己印一些紙
[00:09:23.750–00:09:25.750] 或者印自己的logo
[00:09:25.750–00:09:28.750] 又未必一定要別人的logo
[00:09:28.750–00:09:29.750] 他們未必快
[00:09:29.750–00:09:30.750] 雖然是投票出來
[00:09:30.750–00:09:31.750] 但是最後都未必快
[00:09:31.750–00:09:34.750] 所以我覺得這個work load
[00:09:34.750–00:09:35.750] 還有這個壓力
[00:09:35.750–00:09:38.750] 是有些大得來
[00:09:38.750–00:09:40.750] 又不是很有價值的
[00:09:40.750–00:09:41.750] 我覺得
[00:09:41.750–00:09:42.750] 看看大家怎麼看
[00:09:42.750–00:09:43.750] 大家都說
[00:09:43.750–00:09:44.750] 比如說
[00:09:44.750–00:09:45.750] 因為大家都經歷過
[00:09:45.750–00:09:46.750] 大家看過
[00:09:46.750–00:09:47.750] 大家不如都講一講
[00:09:47.750–00:09:48.750] 大家想法
[00:09:48.750–00:09:49.750] 反過來
[00:09:49.750–00:09:50.750] 在資源上面
[00:09:50.750–00:09:51.750] 例如說
[00:09:51.750–00:09:52.750] 現在開不完
[00:09:52.750–00:09:53.750] 我又反過來
[00:09:53.750–00:09:54.750] 如果有需要
[00:09:54.750–00:09:55.750] 我也可以ask
[00:09:55.750–00:09:56.750] 或者TA上幫忙
[00:09:56.750–00:09:57.750] 似乎是那些大件事
[00:09:57.750–00:09:58.750] 你真的覺得
[00:09:58.750–00:09:59.750] 有危機
[00:09:59.750–00:10:00.750] 我覺得就是
[00:10:00.750–00:10:01.750] 如果真的要做上來
[00:10:01.750–00:10:02.750] 有需要
[00:10:02.750–00:10:03.750] 出生
[00:10:03.750–00:10:05.750] 我試試幫你問
[00:10:05.750–00:10:06.750] 看有沒有人幫忙
[00:10:06.750–00:10:07.750] 我講一下意見
[00:10:07.750–00:10:08.750] 大家經歷過
[00:10:08.750–00:10:09.750] form 2
[00:10:09.750–00:10:10.750] 印一些t-shirt
[00:10:10.750–00:10:12.750] 對同學的反應
[00:10:12.750–00:10:13.750] 對同學的反應
[00:10:13.750–00:10:14.750] 感受過的東西
[00:10:14.750–00:10:15.750] 這樣而已
[00:10:15.750–00:10:16.750] 拿點經驗
[00:10:16.750–00:10:18.750] 這個是我寫出來的
[00:10:18.750–00:10:20.750] 我其實
[00:10:20.750–00:10:21.750] 當年我就
[00:10:21.750–00:10:23.750] 當時我們是
[00:10:23.750–00:10:24.750] 應該大家都知道
[00:10:24.750–00:10:26.750] 這個都算是一個大的
[00:10:26.750–00:10:30.750] 就是重點項目
[00:10:30.750–00:10:32.750] 寫的時候
[00:10:32.750–00:10:34.750] 是配合整個課程
[00:10:34.750–00:10:36.750] 他們由設計開始
[00:10:36.750–00:10:38.750] 去到施放人才到一個成果
[00:10:38.750–00:10:40.750] 我的想法當然就是
[00:10:40.750–00:10:41.750] 他們可以
[00:10:41.750–00:10:43.750] 真的藝術在生活
[00:10:43.750–00:10:45.750] 就是他們不只是做那件作品
[00:10:45.750–00:10:48.750] 他們可以真正可以體驗到
[00:10:48.750–00:10:51.750] 這個學術之後
[00:10:51.750–00:10:53.750] 他可以將他的成品去
[00:10:53.750–00:10:55.750] 就是展現在他的學校
[00:10:55.750–00:10:56.750] 就是我們當時
[00:10:56.750–00:10:57.750] 就除了sports day之外
[00:10:57.750–00:10:59.750] 我們音樂比賽那一天
[00:10:59.750–00:11:00.750] 我們都會在台上
[00:11:00.750–00:11:02.750] 就是當然feel free
[00:11:02.750–00:11:03.750] 他可以不穿的
[00:11:03.750–00:11:04.750] 那時候都大部分
[00:11:04.750–00:11:05.750] 那些人都會穿
[00:11:05.750–00:11:06.750] 怎樣上衣服
[00:11:06.750–00:11:08.750] 他們都穿上衣服
[00:11:08.750–00:11:10.750] 那來到去
[00:11:10.750–00:11:11.750] 就是處理這個問題
[00:11:11.750–00:11:13.750] 當然我
[00:11:13.750–00:11:15.750] 當是我教了幾年的時候
[00:11:15.750–00:11:17.750] 我都handle到
[00:11:17.750–00:11:18.750] 但是
[00:11:18.750–00:11:20.750] 因為我都經歷過
[00:11:20.750–00:11:21.750] 很艱辛的
[00:11:21.750–00:11:23.750] 因為我當時還要自己研究
[00:11:23.750–00:11:25.750] 究竟怎樣去做個C網
[00:11:25.750–00:11:27.750] 做曬得成功
[00:11:27.750–00:11:28.750] 用了很多不同方法
[00:11:28.750–00:11:29.750] 到最後用這個是
[00:11:29.750–00:11:30.750] 就是我都
[00:11:30.750–00:11:32.750] 輾轉用了幾年時間去調到
[00:11:32.750–00:11:35.750] 現在它是最容易處理的
[00:11:35.750–00:11:37.750] 這樣的效果出來了
[00:11:37.750–00:11:39.750] 可能要時間要去
[00:11:39.750–00:11:40.750] 就是
[00:11:40.750–00:11:42.750] 就是安排
[00:11:42.750–00:11:43.750] 就是當然
[00:11:43.750–00:11:44.750] 我都練了幾年
[00:11:44.750–00:11:45.750] 然後就
[00:11:45.750–00:11:47.750] 其實我就相對
[00:11:47.750–00:11:49.750] 我教輕做就熟
[00:11:49.750–00:11:51.750] 就是我處理這樣的時候
[00:11:51.750–00:11:54.750] 那在我教那幾年裡面
[00:11:54.750–00:11:56.750] 其實就主要的學生
[00:11:56.750–00:11:59.750] 我就覺得他們開心的
[00:11:59.750–00:12:01.750] 因為他們
[00:12:01.750–00:12:02.750] 當然真的有
[00:12:02.750–00:12:03.750] 當然有些人
[00:12:03.750–00:12:04.750] 就他們會
[00:12:04.750–00:12:06.750] 我要什麼顏色的衣服
[00:12:06.750–00:12:07.750] 要什麼logo
[00:12:07.750–00:12:08.750] 要什麼
[00:12:08.750–00:12:09.750] 但是
[00:12:09.750–00:12:11.750] 當你去投完一次票
[00:12:11.750–00:12:13.750] 他要去處理
[00:12:13.750–00:12:14.750] 談好了
[00:12:14.750–00:12:15.750] 去做完
[00:12:15.750–00:12:16.750] 其實
[00:12:16.750–00:12:17.750] 因為他們自己要去印的時候
[00:12:17.750–00:12:19.750] 其實因為我主力去幫他們印
[00:12:19.750–00:12:21.750] 他們自己去拉那個顏色
[00:12:21.750–00:12:24.750] 那我就要處理那個
[00:12:24.750–00:12:26.750] 就是那個產品的成果
[00:12:26.750–00:12:28.750] 那基本上都
[00:12:28.750–00:12:29.750] 他們都開
[00:12:29.750–00:12:30.750] 就是總之是
[00:12:30.750–00:12:32.750] 到最後是enjoy
[00:12:32.750–00:12:34.750] 那我就
[00:12:34.750–00:12:36.750] 就是我對於這個單元
[00:12:36.750–00:12:37.750] 我是挺有滿足感的
[00:12:37.750–00:12:38.750] 當時
[00:12:38.750–00:12:39.750] 就是
[00:12:39.750–00:12:40.750] 就是在於
[00:12:40.750–00:12:42.750] 我教的那個period
[00:12:42.750–00:12:43.750] 就結束了
[00:12:43.750–00:12:44.750] 是不是
[00:12:44.750–00:12:45.750] 嗯
[00:12:45.750–00:12:46.750] 有
[00:12:46.750–00:12:48.750] 我給一個方
[00:12:48.750–00:12:49.750] 給一個
[00:12:49.750–00:12:51.750] 學童去看吧
[00:12:51.750–00:12:53.750] 就是我經歷過兩年呢
[00:12:53.750–00:12:55.750] 如果要就sports day
[00:12:55.750–00:12:57.750] 通常就會
[00:12:57.750–00:12:58.750] 那個sports day
[00:12:58.750–00:12:59.750] 就是我希望他們
[00:12:59.750–00:13:00.750] 做得出來的那件衣服
[00:13:00.750–00:13:02.750] 可以有一個機會
[00:13:02.750–00:13:04.750] 他們可以穿回上身
[00:13:04.750–00:13:06.750] 用在日常生活上面
[00:13:06.750–00:13:07.750] 所以我就會就他們sports day
[00:13:07.750–00:13:09.750] 就會看日期
[00:13:09.750–00:13:10.750] 我們去
[00:13:10.750–00:13:11.750] 去
[00:13:11.750–00:13:12.750] 比較緊張一點
[00:13:12.750–00:13:14.750] 其實通常都要9月10月
[00:13:14.750–00:13:16.750] 就真的要起課了
[00:13:16.750–00:13:17.750] 看著那個日期
[00:13:17.750–00:13:20.750] 那這個就會是比較緊張一點的地方
[00:13:20.750–00:13:21.750] 那我們由兩邊
[00:13:21.750–00:13:23.750] 就可能印住一邊才不行
[00:13:23.750–00:13:26.750] 那回來我們就再印背部
[00:13:26.750–00:13:27.750] 然後就回到比賽
[00:13:27.750–00:13:28.750] 對
[00:13:28.750–00:13:30.750] 那時候就是這樣
[00:13:30.750–00:13:31.750] 那個過程
[00:13:31.750–00:13:32.750] 我覺得那些學生都開心了
[00:13:32.750–00:13:33.750] send個相給他們看
[00:13:33.750–00:13:34.750] 是的
[00:13:34.750–00:13:35.750] 那
[00:13:35.750–00:13:37.750] 就給他們去體驗過
[00:13:37.750–00:13:38.750] 那方面呢
[00:13:38.750–00:13:39.750] 就是
[00:13:39.750–00:13:43.750] 我要他們自己印回自己的衣服
[00:13:43.750–00:13:46.750] 他們自己負責自己的質素是如何
[00:13:46.750–00:13:48.750] 因為其實我都教了他們怎樣做
[00:13:48.750–00:13:51.750] 那這個是我有一點改動過的
[00:13:51.750–00:13:53.750] 那就是所謂改動就是最後
[00:13:53.750–00:13:55.750] 就是我整天都捨棄了
[00:13:55.750–00:13:56.750] 最後我就要看著他們
[00:13:56.750–00:13:57.750] 做這一項
[00:13:57.750–00:13:58.750] 是的
[00:13:58.750–00:14:00.750] 你拉自己的衣服
[00:14:00.750–00:14:01.750] 你拉自己的衣服
[00:14:01.750–00:14:03.750] 好過他去拉其他同學或伯伯
[00:14:03.750–00:14:04.750] 做得不好
[00:14:04.750–00:14:06.750] 我就通常你怕
[00:14:06.750–00:14:07.750] 我就幫你
[00:14:07.750–00:14:08.750] 如果你不怕
[00:14:08.750–00:14:10.750] 你很想你就自己拉
[00:14:10.750–00:14:11.750] 我就選擇這個
[00:14:11.750–00:14:13.750] 就是我確保我的質素
[00:14:13.750–00:14:16.750] 你想他們體驗
[00:14:16.750–00:14:18.750] 但你一定要過來看著
[00:14:18.750–00:14:19.750] 我一定要拿過來
[00:14:19.750–00:14:20.750] 我現在引你
[00:14:20.750–00:14:22.750] 然後我就拉
[00:14:22.750–00:14:24.750] 這樣都可以的
[00:14:24.750–00:14:25.750] 另外那個過程都衍生了
