# New Recording 2.m4a

[00:00:00.000–00:00:02.000] 但是可能這部份已經成為
[00:05:52.040–00:05:54.040] 畫一條大分
[00:05:54.040–00:05:56.040] 但是你現在說交功課
[00:05:56.040–00:05:57.040] 是
[00:05:57.040–00:05:58.040] 功課
[00:05:58.040–00:06:00.040] 現在就是因為拆了一九九
[00:06:00.040–00:06:01.040] 所以它的功課
[00:06:01.040–00:06:02.040] 我不是要給大家
[00:06:02.040–00:06:03.040] 但你都不會是
[00:06:03.040–00:06:04.040] 繼欠交功課的
[00:06:04.040–00:06:05.040] 你都是堂數
[00:06:05.040–00:06:06.040] 我沒有欠
[00:06:06.040–00:06:07.040] 沒有欠
[00:06:07.040–00:06:08.040] OK
[00:06:08.040–00:06:10.040] 就是總之你拆了它
[00:06:10.040–00:06:11.040] 你都是圓的圓實
[00:06:11.040–00:06:12.040] 但又不會贏的
[00:06:12.040–00:06:13.040] 是不是要欠交的數字
[00:06:13.040–00:06:14.040] 就是它不會一次過
[00:06:14.040–00:06:15.040] 當大家一個勾勃
[00:06:15.040–00:06:16.040] 收一件功課
[00:06:16.040–00:06:17.040] 它如果將它分開四件
[00:06:17.040–00:06:18.040] 這樣收四次
[00:06:18.040–00:06:19.040] 那就麻煩了
[00:06:19.040–00:06:20.040] 它會欠了四份功課
[00:06:20.040–00:06:24.040] 其實它如果未做好
[00:06:24.040–00:06:25.040] 通常都會下一課
[00:06:25.040–00:06:27.040] 繼續讓它完整大學
[00:06:27.040–00:06:28.040] 就是會追
[00:06:28.040–00:06:29.040] 要讓它追
[00:06:29.040–00:06:31.040] 你才可以去下一個課
[00:06:31.040–00:06:32.040] OK
[00:06:32.040–00:06:33.040] 那就是不會影響
[00:06:33.040–00:06:34.040] 不會影響
[00:06:34.040–00:06:35.040] 欠交數字
[00:06:35.040–00:06:36.040] 沒有
[00:06:36.040–00:06:37.040] 中三
[00:06:37.040–00:06:38.040] 中三沒有功課
[00:06:38.040–00:06:39.040] 全部同學
[00:06:39.040–00:06:40.040] 全部同學
[00:06:40.040–00:06:41.040] 中四五六這些
[00:06:41.040–00:06:42.040] 正常
[00:06:42.040–00:06:43.040] 都是這樣
[00:06:43.040–00:06:44.040] 不交都不交
[00:06:44.040–00:06:45.040] 對
[00:06:45.040–00:06:46.040] 課上
[00:06:46.040–00:06:47.040] 組上修
[00:06:47.040–00:06:48.040] 不交的同學
[00:06:48.040–00:06:49.040] 就不交
[00:06:49.040–00:06:50.040] 交的也很乖
[00:06:50.040–00:06:51.040] 中五那些特別乖
[00:06:51.040–00:06:53.040] 基本上都100%交
[00:06:53.040–00:06:54.040] 也挺好
[00:06:54.040–00:06:55.040] 好
[00:06:55.040–00:06:56.040] 好
[00:06:56.040–00:06:57.040] 好
[00:06:57.040–00:06:58.040] 好
[00:06:58.040–00:06:59.040] 好
[00:06:59.040–00:07:00.040] 好
[00:07:00.040–00:07:01.040] 接著
[00:07:01.040–00:07:02.040] 其實純粹有些
[00:07:02.040–00:07:03.040] 就是要講給大家聽
[00:07:03.040–00:07:04.040] 因為我們其實
[00:07:04.040–00:07:05.040] 都有時候牽涉一些
[00:07:05.040–00:07:06.040] 可能大學生出去
[00:07:06.040–00:07:09.040] 可能有時候有什麼比賽得獎
[00:07:09.040–00:07:10.040] 就會出去
[00:07:10.040–00:07:11.040] 又或者可能甚至
[00:07:11.040–00:07:12.040] 不知道會不會像
[00:07:12.040–00:07:13.040] 可能出去畫畫
[00:07:13.040–00:07:14.040] 帶著他們出去畫畫
[00:07:14.040–00:07:15.040] 一些那些活動
[00:07:15.040–00:07:16.040] 我們都會
[00:07:16.040–00:07:17.040] 就是我們音樂上
[00:07:17.040–00:07:18.040] 可能是那些比賽
[00:07:18.040–00:07:19.040] 又或者不知道
[00:07:19.040–00:07:20.040] 看看有沒有那些
[00:07:20.040–00:07:21.040] 可能帶他們出去聽
[00:07:21.040–00:07:22.040] 音樂會等等
[00:07:22.040–00:07:23.040] 這些類型的
[00:07:23.040–00:07:25.040] 我們都會將它定義為功課
[00:07:25.040–00:07:27.040] 當定義了為功課的時候
[00:07:27.040–00:07:30.040] 我們就要幫他
[00:07:30.040–00:07:33.040] 奉奉我們要求他去做那些事
[00:07:33.040–00:07:34.040] 那些才可以叫功課
[00:07:34.040–00:07:35.040] 如果學生
[00:07:35.040–00:07:36.040] 其實你音樂課
[00:07:36.040–00:07:38.040] 你英文課也是
[00:07:38.040–00:07:40.040] 例如他出去英斯朗族
[00:07:40.040–00:07:41.040] 例如
[00:07:41.040–00:07:42.040] 例如我們音樂節比賽
[00:07:42.040–00:07:44.040] 例如你叫他出去
[00:07:44.040–00:07:46.040] 要有個獎項要拿
[00:07:46.040–00:07:48.040] 上次不是有些類似的嗎
[00:07:48.040–00:07:49.040] 在這些情況底下
[00:07:49.040–00:07:50.040] 我們就叫他做功課
[00:07:50.040–00:07:51.040] 那功課
[00:07:51.040–00:07:54.040] 在我們表面是沒有影響的
[00:07:54.040–00:07:56.040] 但是對於他的學生紀錄
[00:07:56.040–00:07:57.040] 學校影響
[00:07:57.040–00:07:58.040] 就會照聽他
[00:07:58.040–00:07:59.040] 又上學
[00:07:59.040–00:08:00.040] 就不是缺席的
[00:08:00.040–00:08:02.040] 我想那個功課對我們來講
[00:08:02.040–00:08:04.040] 你一樣在學校看不到他
[00:08:04.040–00:08:05.040] 可能對於老師來講
[00:08:05.040–00:08:07.040] 是沒有上學
[00:08:07.040–00:08:09.040] 跟功課是看不到的
[00:08:09.040–00:08:10.040] 但是他
[00:08:10.040–00:08:13.040] 他的學生紀錄是不同的
[00:08:13.040–00:08:14.040] 就是Josephine等的紀錄
[00:08:14.040–00:08:15.040] 他是上學
[00:08:15.040–00:08:16.040] 即是現任的
[00:08:16.040–00:08:17.040] 這些人都是現任的
[00:08:17.040–00:08:19.040] 所以我們就要大家知道
[00:08:19.040–00:08:20.040] 就是功課的定義
[00:08:20.040–00:08:22.040] 另外知道了這個定義之外
[00:08:22.040–00:08:25.040] 就是如果他是有牽涉一些測考
[00:08:25.040–00:08:26.040] 各樣東西等等
[00:08:26.040–00:08:29.040] 其實因為他是為學校做了一些事
[00:08:29.040–00:08:32.040] 或者你必須給他時間去做這些事
[00:08:32.040–00:08:33.040] 在這些情況底下
[00:08:33.040–00:08:36.040] 他的測考是不會打折的
[00:08:36.040–00:08:38.040] 他的補測是不會打折的
[00:08:38.040–00:08:39.040] 所以我們知道
[00:08:39.040–00:08:40.040] 所以我們知道
[00:08:40.040–00:08:41.040] 有時候會出單
[00:08:41.040–00:08:42.040] 說這個同學
[00:08:42.040–00:08:43.040] 我的Teeza同學這一天
[00:08:43.040–00:08:44.040] 下午會出在哪裡
[00:08:44.040–00:08:47.040] 請同事就盡量避免被人折扣
[00:08:47.040–00:08:48.040] 避免最簡單
[00:08:48.040–00:08:50.040] 就不用再在那裡想
[00:08:50.040–00:08:52.040] 能不能打折那樣
[00:08:52.040–00:08:54.040] 因為同事避不了
[00:08:54.040–00:08:55.040] 但是他的孩子
[00:08:55.040–00:08:57.040] 其實應該會成為同事
[00:08:57.040–00:08:59.040] 因為我是代表學校做一些事
[00:08:59.040–00:09:01.040] 所以請老師不要打折
[00:09:01.040–00:09:03.040] 就不會影響他的狀態
[00:09:03.040–00:09:06.040] 或者我們都要關心學生
[00:09:06.040–00:09:07.040] 就是當我們浪費
[00:09:07.040–00:09:08.040] 這些活動給學生做的時候
[00:09:08.040–00:09:10.040] 我們都要告訴他有些情況
[00:09:10.040–00:09:11.040] 關心一下他
[00:09:11.040–00:09:12.040] 你留意一下
[00:09:12.040–00:09:13.040] 老師有沒有給你功課
[00:09:13.040–00:09:14.040] 你沒有做
[00:09:14.040–00:09:15.040] 或者老師有個給測考
[00:09:15.040–00:09:16.040] 撞了時間
[00:09:16.040–00:09:17.040] 又要提他
[00:09:17.040–00:09:18.040] 會不會老師不講真
[00:09:18.040–00:09:19.040] 我們未必那麼仔細
[00:09:19.040–00:09:20.040] 每天都要看
[00:09:20.040–00:09:22.040] 誰今天出家打一場球
[00:09:22.040–00:09:24.040] 然後你會不會做挑釁等等
[00:09:24.040–00:09:27.040] 所以幫忙都要看看老師
[00:09:27.040–00:09:29.040] 你又留意一下
[00:09:29.040–00:09:30.040] 問問同學會不會
[00:09:30.040–00:09:31.040] 我們留意這個測考
[00:09:31.040–00:09:33.040] 你要自己主動跟老師說
[00:09:33.040–00:09:35.040] 就是最穩陣的方法
[00:09:35.040–00:09:37.040] 總之公價原則底下
[00:09:37.040–00:09:40.040] 他成績表是不會顯示他缺席
[00:09:40.040–00:09:41.040] 公價情況底下
[00:09:41.040–00:09:44.040] 他應該的補測補考是不會打折
[00:09:44.040–00:09:46.040] 即是提他同一個科目
[00:09:46.040–00:09:47.040] 是的
[00:09:47.040–00:09:48.040] 都要提他
[00:09:48.040–00:09:49.040] 因為我們的小朋友
[00:09:49.040–00:09:50.040] 是會挺緊張的
[00:09:50.040–00:09:51.040] 好 繼續下去
[00:09:51.040–00:09:52.040] 好 查考情況
[00:09:52.040–00:09:54.040] 多謝Carol告訴我
[00:09:54.040–00:09:55.040] 正常應該
[00:09:55.040–00:09:58.040] KE就上學期查了
[00:09:58.040–00:09:59.040] 接著我想問
[00:09:59.040–00:10:01.040] 你是不是查兩答屬經文
[00:10:01.040–00:10:02.040] 是的
[00:10:02.040–00:10:04.040] 因為我們當時通完
[00:10:04.040–00:10:06.040] 你就兩答都是查英文
[00:10:06.040–00:10:07.040] Carol就是一答
[00:10:07.040–00:10:08.040] 一答英
[00:10:08.040–00:10:09.040] 但是答英
[00:10:09.040–00:10:11.040] 整個我不知道哪一個月漏了
[00:10:11.040–00:10:13.040] 所以你預料到是四月
[00:10:13.040–00:10:14.040] 我再跟你談那日子
[00:10:14.040–00:10:16.040] 因為最後一期是四月
[00:10:16.040–00:10:17.040] 預料到是四月
[00:10:17.040–00:10:18.040] 我再跟你談那日子
[00:10:18.040–00:10:19.040] 是的 好
[00:10:19.040–00:10:20.040] 接著就不提了
[00:10:20.040–00:10:21.040] 提了提了
[00:10:21.040–00:10:22.040] 填英就來忍會看
[00:10:22.040–00:10:24.040] 本來之前是一年二月的
[00:10:24.040–00:10:25.040] 但是我不舒服
[00:10:25.040–00:10:27.040] 人家叫我幫你改遲一點
[00:10:27.040–00:10:29.040] 也一樣上次給你的電郵
[00:10:29.040–00:10:31.040] 那日子就可以了
[00:10:31.040–00:10:33.040] 好 接著就是
[00:10:33.040–00:10:36.040] 兩年進行一次的體堂
[00:10:36.040–00:10:39.040] 因為三位同事上年體堂
[00:10:39.040–00:10:40.040] 今次就不用了
[00:10:40.040–00:10:42.040] CW我都約了他
[00:10:42.040–00:10:44.040] 十一號會有個體堂的時間安排
[00:10:44.040–00:10:45.040] 好
[00:10:45.040–00:10:46.040] 接著圖書館又安排
[00:10:46.040–00:10:49.040] 這裏我都戳一些資料出來
[00:10:49.040–00:10:51.040] 給大家有個詳盡的
[00:10:51.040–00:10:53.040] 即是有個記錄在這裏
[00:10:53.040–00:10:54.040] 我都自己讀了
[00:10:54.040–00:10:55.040] 大家可以自己看
[00:10:55.040–00:10:57.040] 總之其實大家都有來來去去
[00:10:57.040–00:10:58.040] 很多東西玩的
[00:10:58.040–00:10:59.040] 同書館同國科
[00:10:59.040–00:11:00.040] 總之有一隻叫做會介紹
[00:11:00.040–00:11:02.040] 有一隻叫午間介紹
[00:11:02.040–00:11:04.040] 有一隻叫做
[00:11:04.040–00:11:05.040] 什麼那些
[00:11:05.040–00:11:06.040] 午餐的那個
[00:11:06.040–00:11:07.040] 還有一隻叫子光聲
[00:11:07.040–00:11:08.040] 還有一隻叫子光聲
[00:11:08.040–00:11:09.040] 主要有幾個活動
[00:11:09.040–00:11:11.040] 那他這裏就羅列了
[00:11:11.040–00:11:14.040] 所有的活動的要求
[00:11:14.040–00:11:16.040] 例如書是幾新幾舊
[00:11:16.040–00:11:17.040] 要幾一本書
[00:11:17.040–00:11:18.040] 跟著怎樣展示
[00:11:18.040–00:11:19.040] 補給時間
[00:11:19.040–00:11:20.040] Click Club
[00:11:20.040–00:11:22.040] 大家自己refer
[00:11:22.040–00:11:23.040] 在這裏
[00:11:23.040–00:11:24.040] 這個是up to
[00:11:24.040–00:11:25.040] 剛剛
[00:11:25.040–00:11:26.040] 應該是十月
[00:11:26.040–00:11:27.040] 還是十一月
[00:11:27.040–00:11:28.040] 出來的資料
[00:11:28.040–00:11:30.040] 應該都最合理的
[00:11:30.040–00:11:31.040] 好
[00:11:31.040–00:11:33.040] 接著純粹一些簡單報告
[00:11:33.040–00:11:34.040] 很久之前的事
[00:11:34.040–00:11:35.040] 九月的事
[00:11:35.040–00:11:36.040] 十一日
[00:11:36.040–00:11:37.040] 那個
[00:11:37.040–00:11:38.040] 都怎樣了
[00:11:38.040–00:11:39.040] 教主
[00:11:39.040–00:11:40.040] 教主
[00:11:40.040–00:11:41.040] 報了
[00:11:41.040–00:11:42.040] 發生的事
[00:11:42.040–00:11:43.040] 好
[00:11:43.040–00:11:44.040] 接著另外就是
[00:11:44.040–00:11:45.040] 是
[00:11:45.040–00:11:47.040] 二點九就是我們聖誕前
[00:11:47.040–00:11:49.040] 有個line wide learning
[00:11:49.040–00:11:50.040] 那個
[00:11:50.040–00:11:51.040] 應加音
[00:11:51.040–00:11:53.040] 就是一個語劇的戲
[00:11:53.040–00:11:54.040] 不同動作方
[00:11:54.040–00:11:56.040] 接著VA
[00:11:56.040–00:11:57.040] 中四
[00:11:57.040–00:11:58.040] 今年就報了
[00:11:58.040–00:11:59.040] overstate
[00:11:59.040–00:12:01.040] 辛苦中四做了代表
[00:12:01.040–00:12:03.040] 做了這個香港仔
[00:12:03.040–00:12:04.040] 曬家艇漁村的速劃
[00:12:04.040–00:12:06.040] 又順利完成了
[00:12:06.040–00:12:08.040] 接著升康
[00:12:08.040–00:12:10.040] 就鑒於大埔的火災
[00:12:10.040–00:12:11.040] 我們是補了棋的
[00:12:11.040–00:12:13.040] 最後十年二十個完成了
[00:12:13.040–00:12:14.040] 因為我自己比賽
[00:12:14.040–00:12:16.040] 其實開始緊了
[00:12:16.040–00:12:18.040] 現在有一半左右的比賽
[00:12:18.040–00:12:19.040] 已經經歷了
[00:12:19.040–00:12:21.040] 現在還有些比賽
[00:12:21.040–00:12:22.040] 其實淡了
[00:12:22.040–00:12:23.040] 在假期裡面發生的
[00:12:23.040–00:12:25.040] 那些學生會有處理
[00:12:25.040–00:12:27.040] 另外我們其實合唱團
[00:12:27.040–00:12:28.040] 也有一項比賽
[00:12:28.040–00:12:29.040] 但我沒有寫下去
[00:12:29.040–00:12:30.040] 因為還沒完成
[00:12:30.040–00:12:32.040] 下半段我學你再寫
[00:12:32.040–00:12:33.040] 我們接下來合唱團
[00:12:33.040–00:12:35.040] 都會有一個比賽
[00:12:35.040–00:12:36.040] 應該會在四月中尾
[00:12:36.040–00:12:38.040] 那裡會處理
[00:12:38.040–00:12:39.040] 關仔歌唱比賽
[00:12:39.040–00:12:41.040] 其實上次也收到大家的
[00:12:41.040–00:12:42.040] 第二個解答語言
[00:12:42.040–00:12:44.040] 上一個minutes也有寫
[00:12:44.040–00:12:46.040] 但其實上次
[00:12:46.040–00:12:48.040] 我已經draft了時間
[00:12:48.040–00:12:49.040] 其實都是預算
[00:12:49.040–00:12:51.040] 在八半至十二
[00:12:51.040–00:12:52.040] 比賽當天
[00:12:52.040–00:12:53.040] 就要長一點
[00:12:53.040–00:12:55.040] 因為都真的二級輪流比賽
[00:12:55.040–00:12:56.040] 要多一點時間
[00:12:56.040–00:12:57.040] 我也有看大家
[00:12:57.040–00:12:59.040] 大家可以看第十頁
[00:12:59.040–00:13:01.040] 第十頁大家其實
[00:13:01.040–00:13:02.040] 給了一些建議
[00:13:02.040–00:13:04.040] 我都研究了一下
[00:13:04.040–00:13:05.040] 會不會更加少
[00:13:05.040–00:13:06.040] 因為砌一砌才會
[00:13:06.040–00:13:07.040] 再去研究
[00:13:07.040–00:13:10.040] 上次在第十頁四點六
[00:13:10.040–00:13:12.040] 大家給了一點意見
[00:13:12.040–00:13:14.040] 例如三個叔兩人
[00:13:14.040–00:13:16.040] 一天做頒獎課這些
[00:13:16.040–00:13:18.040] 我們有跟國民談過
[00:13:18.040–00:13:21.040] 如果要將它變成頒獎課
[00:13:21.040–00:13:23.040] 其實就要有另外一個部門
[00:13:23.040–00:13:25.040] 去處理
[00:13:25.040–00:13:28.040] 暫時全部都沒有
[00:13:28.040–00:13:30.040] 其他部門想認同做這件事
[00:13:30.040–00:13:31.040] 好
[00:13:31.040–00:13:32.040] 接著一路
[00:13:32.040–00:13:33.040] 我們就純粹
[00:13:33.040–00:13:34.040] 分享經驗
[00:13:34.040–00:13:35.040] 教外班都可以
[00:13:35.040–00:13:36.040] 填音的意見
[00:13:36.040–00:13:37.040] 就說可不可以再短一點
[00:13:37.040–00:13:38.040] 但是很少來的建議
[00:13:38.040–00:13:39.040] 文法叫十二半
[00:13:39.040–00:13:41.040] 我們在八半都十二
[00:13:41.040–00:13:42.040] 短過你的廣泛
[00:13:42.040–00:13:43.040] 所以就
[00:13:43.040–00:13:45.040] 我知道第二天放假
[00:13:45.040–00:13:46.040] 說一個情景
[00:13:46.040–00:13:47.040] 第二天放假
[00:13:47.040–00:13:48.040] 我都有跟國民談
[00:13:48.040–00:13:49.040] 國民可以說一句
[00:13:49.040–00:13:50.040] 如果是這件事
[00:13:50.040–00:13:52.040] 他就要拿出來A會談
[00:13:52.040–00:13:53.040] A會裏面
[00:13:53.040–00:13:54.040] 如果有其他部門
[00:13:54.040–00:13:55.040] 就承擔了
[00:13:55.040–00:13:56.040] 如果我的活動組
[00:13:56.040–00:13:58.040] 願意吃一天的活動
[00:13:58.040–00:14:01.040] 其實我是可以
[00:14:01.040–00:14:03.040] 不斷切斷所有事情
[00:14:03.040–00:14:04.040] 但是都是說一句
[00:14:04.040–00:14:05.040] 他就應該
[00:14:05.040–00:14:07.040] 似乎就沒有其他部門發聲
[00:14:07.040–00:14:09.040] 所以如果沒有其他部門發聲
